NodeID,DegreeCentrality,Betweenness,PageRank
107,0.258791480931154,0.48051807855602024,0.006936420955866111
1684,0.1961367013372957,0.3377974497301983,0.006367162138306828
1912,0.18697374938088163,0.2292953395868739,0.0038769716008844966
3437,0.13546310054482416,0.23611535735892672,0.007614586844749604
0,0.08593363051015354,0.14630592147442842,0.006289602618466541
2543,0.07280832095096582,0.0076046266573782835,0.0006731141618825248
2347,0.07206537890044576,0.0031998747402822787,0.0006288535706462465
1888,0.0629024269440317,0.00011843302938197088,0.000711717267372506
1800,0.06067360079247152,0.00015282194124476662,0.0006984646532952209
1663,0.058197127290737984,0.0011001111788031953,0.0006645344956311116
2266,0.05794947994056463,0.0017078201895933671,0.0004547583504373502
1352,0.05794947994056463,0.0011108897670658775,0.0006690772431300502
483,0.057206537890044575,0.010308265926953228,0.0012974283300616098
348,0.05671124318969787,0.0379980974809208,0.0023480969727805753
1730,0.055968301139177806,0.00013668118280842054,0.0006613437938392171
1985,0.0554730064388311,0.00013244618687978312,0.000436074770734344
1941,0.05522535908865775,0.0017270958689600193,0.0005334723030162656
2233,0.0549777117384844,0.00011418648448273223,0.00042072385983438817
2142,0.054730064388311045,8.992278144016343e-05,0.0004277102806485089
1431,0.05448241703813769,0.0001541833194630535,0.0006584499181463511
1199,0.05373947498761763,6.814670861894296e-05,0.0006046332762404047
1584,0.05225359088657751,0.0002640255826050805,0.0006345434577260152
2206,0.052005943536404156,1.218384937248003e-05,0.00038046381738464764
1768,0.051758296186230804,0.00011200690654905106,0.0006160685975883843
2611,0.0512630014858841,3.7701367417307445e-05,0.00039311589893981005
2410,0.0512630014858841,2.0825042020004438e-05,0.00038237686096144523
2229,0.0512630014858841,3.506630843377366e-05,0.0003878705594247029
2218,0.050767706785537395,1.4677835806484192e-05,0.00037462167829178445
2047,0.050767706785537395,0.0014761342550475014,0.0008410291545974014
1086,0.050767706785537395,0.0006036875550108644,0.0006586308410766912
1589,0.050767706785537395,4.930301749291871e-05,0.0005697724164080934
2078,0.05052005943536404,1.3204916504834855e-05,0.000370767604057998
2123,0.05027241208519068,1.0548338908604303e-05,0.00036831950905056487
1993,0.05027241208519068,1.7699084201704573e-05,0.0003744155067768436
2464,0.05002476473501733,8.21709111078229e-06,0.00036387947137179615
1746,0.05002476473501733,7.035702440811047e-05,0.0005642596543666141
1827,0.04977711738484398,8.406833502583762e-05,0.0005855646489119559
2507,0.04977711738484398,1.2895423911585721e-05,0.0003668342796789422
2560,0.04977711738484398,4.7497282897394796e-05,0.00037915784421932116
2240,0.04977711738484398,1.1615429569137655e-05,0.0003657299617330149
2244,0.04952947003467063,8.803135012512033e-06,0.0003616627255178563
1983,0.049281822684497274,2.567278845326937e-05,0.0003752103982209149
2309,0.049281822684497274,2.5638111931682802e-05,0.0003698508813490173
2340,0.04903417533432392,9.221639254696473e-06,0.00035839220025040536
2131,0.04903417533432392,1.697400542700466e-05,0.0003614636003279413
2602,0.04903417533432392,1.7202387833817157e-05,0.00036418987435830023
1126,0.04903417533432392,0.0009168876828291195,0.0005661927301412858
2088,0.04903417533432392,1.149807606811406e-05,0.0003621184050898665
2324,0.04878652798415057,5.113911268040702e-05,0.0003687475268452296
2590,0.04878652798415057,9.814358384981495e-06,0.0003579062889407106
2369,0.04878652798415057,1.0116862726430769e-05,0.0003577525536365238
2542,0.04853888063397721,0.001357023717765079,0.00036999866943756286
2604,0.04853888063397721,1.5016353473009553e-05,0.0003613823406295115
1804,0.04829123328380386,4.4208001965448164e-05,0.0005445079243357048
2073,0.04829123328380386,8.66249866028781e-06,0.00035402442483806163
2220,0.04829123328380386,7.192507898063129e-06,0.0003518649851524958
2607,0.04829123328380386,9.462446083759702e-06,0.0003539384833033087
2188,0.048043585933630506,8.62461405422496e-06,0.00035279715146076
2059,0.047795938583457154,5.698009606767327e-06,0.00034743882022949055
2172,0.047795938583457154,1.0658525110059082e-05,0.00035315943961953503
1390,0.047795938583457154,4.9723836293144135e-05,0.0005404067445837941
2150,0.0475482912332838,1.6439058852728304e-05,0.0003530717672040217
1943,0.0475482912332838,1.0939467004464005e-05,0.0003520378206372902
2526,0.04730064388311045,5.284346818710051e-05,0.00037824379408328443
2428,0.04730064388311045,1.3973558852207661e-05,0.0003532615316173511
1833,0.04730064388311045,3.95711809408455e-05,0.0005311171738532416
1946,0.04730064388311045,7.29745761675149e-06,0.0003464008100033503
1917,0.0470529965329371,7.645647272384066e-06,0.00034546844027585194
1377,0.0470529965329371,7.456199488227652e-05,0.000551755504577734
2601,0.0470529965329371,7.504722908135598e-06,0.0003450685045964298
1612,0.0470529965329371,8.54205887870657e-05,0.0005331174083343786
2201,0.0470529965329371,6.4265276796909065e-06,0.00034358922132737195
2331,0.0470529965329371,1.0036571330333145e-05,0.00034668888698710946
1938,0.046805349182763745,7.296319413084936e-06,0.00034355088181341583
2090,0.046805349182763745,5.506319109103338e-06,0.0003419431527604104
1621,0.046805349182763745,0.0008622883580861494,0.000540295911151351
2564,0.04655770183259039,9.512819413383603e-06,0.0003439218380908626
2384,0.04655770183259039,0.0004494548363578208,0.0005786731152272169
